task1.time	task1.S1	task1.S2
0.0	5.0	0.0
0.1	5.0	0.0
0.2	5.0	0.0
0.3	5.0	0.0
0.4	5.0	0.0
0.5	5.0	0.0
0.6	5.0	0.0
0.7	5.0	0.0
0.8	5.0	0.0
0.9	5.0	0.0
1.0	5.0	0.0
1.1	5.0	0.0
1.2	5.0	0.0
1.3	5.0	0.0
1.4	5.0	0.0
1.5	5.0	0.0
1.6	5.0	0.0
1.7	5.0	0.0
1.8	5.0	0.0
1.9	5.0	0.0
2.0	5.0	0.0
2.1	5.0	0.0
2.2	5.0	0.0
2.3	5.0	0.0
2.4	5.0	0.0
2.5	5.0	0.0
2.6	5.0	0.0
2.7	5.0	0.0
2.8	5.0	0.0
2.9	5.0	0.0
3.0	5.0	0.0
3.1	5.0	0.0
3.2	5.0	0.0
3.3	5.0	0.0
3.4	5.0	0.0
3.5	5.0	0.0
3.6	5.0	0.0
3.7	5.0	0.0
3.8	5.0	0.0
3.9	5.0	0.0
4.0	5.0	0.0
4.1	5.0	0.0
4.2	5.0	0.0
4.3	5.0	0.0
4.4	5.0	0.0
4.5	5.0	0.0
4.6	5.0	0.0
4.7	5.0	0.0
4.8	5.0	0.0
4.9	5.0	0.0
5.0	5.0	0.0
5.1	5.0	0.0
5.2	5.0	0.0
5.3	5.0	0.0
5.4	5.0	0.0
5.5	5.0	0.0
5.6	5.0	0.0
5.7	5.0	0.0
5.8	5.0	0.0
5.9	5.0	0.0
6.0	5.0	0.0
6.1	5.0	0.0
6.2	5.0	0.0
6.3	5.0	0.0
6.4	5.0	0.0
6.5	5.0	0.0
6.6	5.0	0.0
6.7	5.0	0.0
6.8	5.0	0.0
6.9	5.0	0.0
7.0	5.0	0.0
7.1	5.0	0.0
7.2	5.0	0.0
7.3	5.0	0.0
7.4	5.0	0.0
7.5	5.0	0.0
7.6	5.0	0.0
7.7	5.0	0.0
7.8	5.0	0.0
7.9	5.0	0.0
8.0	5.0	0.0
8.1	5.0	0.0
8.2	5.0	0.0
8.3	5.0	0.0
8.4	5.0	0.0
8.5	5.0	0.0
8.6	5.0	0.0
8.7	5.0	0.0
8.8	5.0	0.0
8.9	5.0	0.0
9.0	5.0	0.0
9.1	5.0	0.0
9.2	5.0	0.0
9.3	5.0	0.0
9.4	5.0	0.0
9.5	5.0	0.0
9.6	5.0	0.0
9.7	5.0	0.0
9.8	5.0	0.0
9.9	5.0	0.0
10.0	5.0	0.0
